baseline,user_id,precision_at_k,recall_at_k,ndcg_at_k,diversity_at_k,recommended_items,relevant_items
popularity,AE2BTLD2M7XWFTP42FLKM4VEWJPA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B01M8M1P1G
content_category,AE2BTLD2M7XWFTP42FLKM4VEWJPA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B01M8M1P1G
popularity,AE2DE52WCFUGAIGQW4XG6BRDRXTQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07F2X3MHJ
content_category,AE2DE52WCFUGAIGQW4XG6BRDRXTQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07F2X3MHJ
popularity,AE2EE2MCNG5LJUXOUXJKIZNK3J5Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B078X1Y73X
content_category,AE2EE2MCNG5LJUXOUXJKIZNK3J5Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B078X1Y73X
popularity,AE2FF4PSBHU7J3DTB6ZTKUDL2WTQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00OBWEGQC
content_category,AE2FF4PSBHU7J3DTB6ZTKUDL2WTQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00OBWEGQC
popularity,AE2G7H47NGJCQT345MO2TY34XL7A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B089SZP3KS
content_category,AE2G7H47NGJCQT345MO2TY34XL7A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B089SZP3KS
popularity,AE2GBCURBOWL4EGBCSH3HG7QZ72A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BVMJ6NSZ
content_category,AE2GBCURBOWL4EGBCSH3HG7QZ72A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BVMJ6NSZ
popularity,AE2H7XLXERKDGSP6JF2OZKFYYOJA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B016YJ4TRU
content_category,AE2H7XLXERKDGSP6JF2OZKFYYOJA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B016YJ4TRU
popularity,AE2HHPMYAXJMR4JVC2XW2ES4LZJQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B004XL32T8
content_category,AE2HHPMYAXJMR4JVC2XW2ES4LZJQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B004XL32T8
popularity,AE2HSLNIQXW4AYIMVZOQ5S36T5LQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BQP45LFZ
content_category,AE2HSLNIQXW4AYIMVZOQ5S36T5LQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BQP45LFZ
popularity,AE2HVPSQGJKH5JSLZUKAA2LF45WQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00LQDAVV8
content_category,AE2HVPSQGJKH5JSLZUKAA2LF45WQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00LQDAVV8
popularity,AE2IDSJ2BXY6FJN5UI5ZNRACJ4ZQ,0.1,1.0,1.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B08YBGCNHP
content_category,AE2IDSJ2BXY6FJN5UI5ZNRACJ4ZQ,0.1,1.0,1.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B08YBGCNHP
popularity,AE2JMOJBQZIOKX7MKST4C5VC674A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00LHR39O4
content_category,AE2JMOJBQZIOKX7MKST4C5VC674A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00LHR39O4
popularity,AE2K6NGRXS6NMFLFWUMEYT7N4NPA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00LGU99IM
content_category,AE2K6NGRXS6NMFLFWUMEYT7N4NPA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00LGU99IM
popularity,AE2KBK6WG5K6RDANQVK6IENTMOMQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07X1YVWP4
content_category,AE2KBK6WG5K6RDANQVK6IENTMOMQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07X1YVWP4
popularity,AE2KEY3ETLHUO5MP5D4OJRT6Y2BA,0.1,1.0,1.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B08YBGCNHP
content_category,AE2KEY3ETLHUO5MP5D4OJRT6Y2BA,0.1,1.0,1.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B08YBGCNHP
popularity,AE2LCQAGBTORRK3SMXEBMFJBOP4A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B001DHKJU0
content_category,AE2LCQAGBTORRK3SMXEBMFJBOP4A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B001DHKJU0
popularity,AE2LLMGQW3KHRCZ5V7CWN2FUJRSQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0C49N2MMM
content_category,AE2LLMGQW3KHRCZ5V7CWN2FUJRSQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0C49N2MMM
popularity,AE2MHG4SRZYZFQHCKEUXBSSCWP6A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00W4YGJH8
content_category,AE2MHG4SRZYZFQHCKEUXBSSCWP6A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00W4YGJH8
popularity,AE2OTLXVBXIGKONZBF3F7LO7T7BA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00E0CWC5A
content_category,AE2OTLXVBXIGKONZBF3F7LO7T7BA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00E0CWC5A
popularity,AE2PHZCIDMUK5PFF3XODGP727RJA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B09K7S53MV
content_category,AE2PHZCIDMUK5PFF3XODGP727RJA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B09K7S53MV
popularity,AE2PVTRLQP2MP73D273QUN3XK4BA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07VNJ6RNL
content_category,AE2PVTRLQP2MP73D273QUN3XK4BA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07VNJ6RNL
popularity,AE2QMHK4NYGZKQDPPVFCSOI75FSA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B08FMKGX6L
content_category,AE2QMHK4NYGZKQDPPVFCSOI75FSA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B08FMKGX6L
popularity,AE2R4DLGRRFB3YYVTAABU66KZRTA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B078MGY2CS
content_category,AE2R4DLGRRFB3YYVTAABU66KZRTA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B078MGY2CS
popularity,AE2SE5D2M6LBF5PEOPW4V3GJ3YNQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B008DJIAMA
content_category,AE2SE5D2M6LBF5PEOPW4V3GJ3YNQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B008DJIAMA
popularity,AE2SMCPOALTJXPTASSKTJR2RXZNQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B098W5ND23
content_category,AE2SMCPOALTJXPTASSKTJR2RXZNQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B098W5ND23
popularity,AE2U3GIMWQTNFWGTG7GDAGHG36JQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0B9SH64N5
content_category,AE2U3GIMWQTNFWGTG7GDAGHG36JQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0B9SH64N5
popularity,AE2UEZSOG74COD3HZTYHLB556U7A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B004XLE48G
content_category,AE2UEZSOG74COD3HZTYHLB556U7A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B004XLE48G
popularity,AE2URK7HGEFG3SLE2NHZ4QB33N3A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BSRS2KWY
content_category,AE2URK7HGEFG3SLE2NHZ4QB33N3A,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0BSRS2KWY
popularity,AE2UY5OTQFC476SLN422P4LL3VEA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B005B4EDE4
content_category,AE2UY5OTQFC476SLN422P4LL3VEA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B005B4EDE4
popularity,AE2V7H5HPHQ7LJJICZRWFJCMQD2Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00MOD20UO
content_category,AE2V7H5HPHQ7LJJICZRWFJCMQD2Q,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B00MOD20UO
popularity,AE2VTDR2BO3QXBTWVOHL7VANDCFQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0C49N2MMM
content_category,AE2VTDR2BO3QXBTWVOHL7VANDCFQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B0C49N2MMM
popularity,AE2VTHJH7FJOBCALLKACA63VL7HQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B0053Y2T5C
content_category,AE2VTHJH7FJOBCALLKACA63VL7HQ,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7,B0BWBF4MN1",B0053Y2T5C
popularity,AE2W35G2UDD3OHHMAY52UW4SATBA,0.0,0.0,0.0,0.0,"B08YBGCNHP,B002JAKRAM,B0BHVB8BF4,B01ALBMIEI,B00UXG4WR8,B09MQLYPRR,B0C2HMPZRB,B08FDC59PB,B003BIGDLI,B09VTZ54J7",B07H44NYT9
