external_id,name,url,image_url,category,subcategory,brand,price,available,availability_text,voltage,width_cm,installation_type,product_type,environment,premium_level
mock-015,Frigobar gourmet demo vidro,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Frigobares,PrimeHaus,3990.00,true,Disponivel para simulacao,110V,50,Piso,Frigobar,Espaco Gourmet,Intermediario
mock-016,Frigobar premium demo embutir,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Frigobares,GourmetLab,6590.00,true,Disponivel para simulacao,220V,60,Embutir,Frigobar,Espaco Gourmet,Premium
mock-017,Churrasqueira gas demo bancada,https://www.kouzinaclub.com.br/,,Area Gourmet,Churrasqueiras,BravaHome,12990.00,true,Disponivel para simulacao,220V,80,Bancada,Churrasqueira,Area Churrasco,Premium
mock-018,Churrasqueira eletrica demo embutir,https://www.kouzinaclub.com.br/,,Area Gourmet,Churrasqueiras,GourmetLab,7490.00,true,Disponivel para simulacao,220V,60,Embutir,Churrasqueira,Varanda Gourmet,Intermediario
mock-019,Coifa compacta demo 60cm,https://www.kouzinaclub.com.br/,,Cozinha,Coifas,BravaHome,4290.00,true,Disponivel para simulacao,110V,60,Parede,Coifa,Cozinha Planejada,Basico
mock-020,Coifa ilha black demo 120cm,https://www.kouzinaclub.com.br/,,Cozinha,Coifas,GourmetLab,14990.00,false,Indisponivel para validar penalizacao,220V,120,Ilha,Coifa,Cozinha Gourmet,Premium
mock-021,Cooktop seis queimadores demo,https://www.kouzinaclub.com.br/,,Cozinha,Cooktops,Elettromec,11990.00,true,Disponivel para simulacao,220V,90,Embutir,Cooktop,Cozinha Gourmet,Premium
mock-022,Cooktop basico demo quatro bocas,https://www.kouzinaclub.com.br/,,Cozinha,Cooktops,BravaHome,3290.00,true,Disponivel para simulacao,110V,60,Embutir,Cooktop,Cozinha Planejada,Basico
mock-023,Forno pirolitico demo premium,https://www.kouzinaclub.com.br/,,Cozinha,Fornos,LineaPro,12990.00,false,Indisponivel para validar penalizacao,220V,60,Embutir,Forno,Cozinha Gourmet,Premium
mock-024,Forno vapor demo gourmet,https://www.kouzinaclub.com.br/,,Cozinha,Fornos,GourmetLab,9690.00,true,Disponivel para simulacao,220V,60,Embutir,Forno,Cozinha Gourmet,Premium
mock-025,Domino teppan demo inox,https://www.kouzinaclub.com.br/,,Cozinha,Dominos,LineaPro,8490.00,true,Disponivel para simulacao,220V,30,Embutir,Domino,Cozinha Gourmet,Premium
mock-026,Domino vitroceramico demo,https://www.kouzinaclub.com.br/,,Cozinha,Dominos,BravaHome,4990.00,false,Indisponivel para validar penalizacao,220V,30,Embutir,Domino,Cozinha Planejada,Intermediario
mock-027,Adega grande demo 92 garrafas,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Adegas,GourmetLab,15990.00,true,Disponivel para simulacao,220V,70,Piso,Adega,Espaco Gourmet,Premium
mock-028,Cervejeira compacta demo varanda,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Cervejeiras,BravaHome,4690.00,false,Indisponivel para validar penalizacao,110V,50,Piso,Cervejeira,Varanda Gourmet,Intermediario
mock-029,Frigobar baixo demo area gourmet,https://www.kouzinaclub.com.br/,,Espaco Gourmet,Frigobares,LineaPro,5290.00,true,Disponivel para simulacao,220V,60,Piso,Frigobar,Espaco Gourmet,Intermediario
mock-030,Churrasqueira premium demo rotisserie,https://www.kouzinaclub.com.br/,,Area Gourmet,Churrasqueiras,Crissair,18990.00,true,Disponivel para simulacao,220V,100,Embutir,Churrasqueira,Espaco Gourmet,Premium
