source_type,recommended_type,relation_class,relation_type,default_action,strength,requires_project_context,requires_installation_check,quote_policy,reason_template,source,validation_status,notes
Refrigerador,Cervejeira,kouzina_specific,editorial,review,low,true,true,allow_top3_with_context,Relacao editorial provisoria pendente de validacao por comportamento real.,phase_4_8_agent_meeting,agent_hypothesis,Tratar como curadoria local ate validacao com dados reais.
Lavadora,Adega,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Lavadora,Coifa,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Lavadora,Cooktop,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Lavadora,Forno,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Adega,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Coifa,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Rangetop,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Secadora,Forno,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Conjugada,Adega,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
Conjugada,Coifa,forbidden,unknown,block,strong,false,false,block_if_weak,Relacao bloqueada por politica provisoria de qualidade.,phase_4_8_agent_meeting,agent_hypothesis,Relacao proibida por cruzamento de dominio.
